abstract,author,doi,url,publication month,publication year,title,publisher,crossref_field,semantic_field,label
,Himanshu Saxena,,,,,Biological N2 fixation rates of the world ocean,,,,Oceanography
,"['Gordon T. Taylor', 'Kent A. Fanning', 'Stuart G. Wakeham', 'Agnieszka Podlaska']",10.1016/j.dsr.2012.04.002,https://doi.org/10.1016/j.dsr.2012.04.002,8,2012,Microbial community structure and productivity in the oxygen minimum zone of the eastern tropical North Pacific,Deep Sea Research Part I: Oceanographic Research Papers,,,Oceanography
,"['Ramon Varela', 'Frank Muller-Karger', 'Robert C. Thunell', 'Mary I. Scranton', 'Tung-Yuan Ho', 'Maria Iabichella', 'Gordon T. Taylor']",10.4319/lo.2001.46.1.0148,https://doi.org/10.4319/lo.2001.46.1.0148,1,2001,Chemoautotrophy in the redox transition zone of the Cariaco Basin: A significant midwater source of organic carbon production,Limnology and Oceanography,,,Oceanography
,"['M. E. Alcaman', 'M. Cornejo', 'J. Faúndez', 'C. Fernández', 'L. Farías']",10.5194/bgd-6-6205-2009,https://doi.org/10.5194/bgd-6-6205-2009,6,2009,Chemolithoautotrophic production mediating the cycling of the greenhouses gases N&lt;sub&gt;2&lt;/sub&gt;O and CH&lt;sub&gt;4&lt;/sub&gt; in an upwelling ecosystem,,,,Oceanography
,"['Gerhard J. Herndl', 'Thomas Reinthaler', 'Josep M. Gasol', 'Eva Sintes', 'Javier Arístegui', 'Federico Baltar']",10.1029/2010GL043105,https://doi.org/10.1029/2010GL043105,5,2010,Significance of non-sinking particulate organic carbon and dark CO2fixation to heterotrophic carbon demand in the mesopelagic northeast Atlantic: DARK CO2FIXATION AND C DEMAND,Geophysical Research Letters,,,Oceanography
,"['Gerhard J. Herndl', 'Hendrik M. van Aken', 'Thomas Reinthaler']",10.1016/j.dsr2.2010.02.023,https://doi.org/10.1016/j.dsr2.2010.02.023,8,2010,Major contribution of autotrophy to microbial carbon cycling in the deep North Atlantic’s interior,Deep Sea Research Part II: Topical Studies in Oceanography,,,Oceanography
,"['Sheng Liu', 'Tao Yuan', 'Hui Huang', 'Xiangcheng Yuan', 'Yajuan Guo', 'Jianzu Liao', 'Weihua Zhou']",10.1016/j.csr.2017.08.005,http://dx.doi.org/10.1016/j.csr.2017.08.005,8,2017,High dark carbon fixation in the tropical South China Sea,Continental Shelf Research,,,Oceanography
,"['Laura Giuliano', 'Peter N Golyshin', 'Manuel Ferrer', 'Juan Pablo Albar', 'Marisol Fernández', 'Sergio Ciordia', 'Silvia Juárez', 'Thomas H DeLuca', 'Francesco Smedile', 'Violetta La Cono', 'Michail M Yakimov']",10.1038/ismej.2010.197,https://doi.org/10.1038/ismej.2010.197,1,2011,Contribution of crenarchaeal autotrophic ammonia oxidizers to the dark primary production in Tyrrhenian deep waters (Central Mediterranean Sea),The ISME Journal,,,Oceanography
,"['R Sen Gupta', 'M Dileep Kumar', 'A Rajendran', 'K Somasundar']",10.1016/0304-4203(90)90081-M,https://doi.org/10.1016/0304-4203(90)90081-M,1,1990,Carbon and nitrogen budgets of the Arabian Sea,Marine Chemistry,,,Oceanography
,"['Ludger Mintrop', 'Jan C. Duinker', 'Arne Körtzinger']",10.1029/97GL01775,https://doi.org/10.1029/97GL01775,7,1997,Strong CO2emissions from the Arabian Sea during south-west monsoon,Geophysical Research Letters,,,Oceanography
,"[' N Ramaiah', ' Jane paul', ' Veronica Fernandes', ' S Prasanna Kumar', ' Suhas Shetye', ' M V Maya', 'S Sardessai']",,http://hdl.handle.net/123456789/10013,6,2010,Environmental controls on the seasonal carbon dioxide fluxes in the northeastern Indian Ocean,,,,Oceanography
,"['D.A. Jayakumar', 'S.N. de Sousa', 'P.V. Narvekar', 'S. Banerjee', 'S.W.A. Naqvi', 'M. Dileep Kumar', 'M.D. George']",10.1016/0304-4203(94)90023-X,https://doi.org/10.1016/0304-4203(94)90023-X,11,1994,A study of the carbon dioxide system in the northern Indian Ocean during premonsoon,Marine Chemistry,,,Oceanography
